State,Vaccine_allocation
Alabama,530500
Alaska,174400
Arizona,753700
Arkansas,325700
California,4226100
Colorado,603175
Connecticut,402150
Delaware,108900
District of Columbia,83025
Florida,2313050
Georgia,1097250
Hawaii,161150
Idaho,178650
Illinois,1099800
Indiana,715275
Iowa,341025
Kansas,313150
Kentucky,487475
Louisiana,505450
Maine,154550
Maryland,657500
Massachusetts,769500
Michigan,1092900
Minnesota,599425
Mississippi,320800
Missouri,664800
Montana,119075
Nebraska,206500
Nevada,319100
New Hampshire,154650
New Jersey,972600
New Mexico,230400
New York,2178300
North Carolina,1108000
North Dakota,84925
Ohio,1270975
Oklahoma,420425
Oregon,456200
Pennsylvania,1428475
Rhode Island,121175
South Carolina,546275
South Dakota,97225
Tennessee,727225
Texas,2894925
Utah,302425
Vermont,77175
Virginia,921825
Washington,821575
West Virginia,207200
Wisconsin,637250
Wyoming,65850
Puerto Rico,384850
